"month","branch_line","otp","am_peak","pm_peak","off_peak"
"2020-01-01T00:00:00.000","Hudson","0.976","0.946","0.98","0.977"
"2020-01-01T00:00:00.000","Harlem","0.978","0.972","0.98","0.968"
"2020-01-01T00:00:00.000","New Haven","0.97","0.96","0.983","0.964"
"2020-01-01T00:00:00.000","East of Hudson","0.974",,,
"2020-01-01T00:00:00.000","Pascack Valley","0.964","0.952","0.959","0.955"
"2020-01-01T00:00:00.000","Port Jervis","0.913","0.921","0.897","0.924"
"2020-01-01T00:00:00.000","West of Hudson","0.942",,,
"2020-02-01T00:00:00.000","Hudson","0.982","0.972","0.992","0.973"
"2020-02-01T00:00:00.000","Harlem","0.967","0.948","0.958","0.967"
"2020-02-01T00:00:00.000","New Haven","0.971","0.968","0.973","0.957"
"2020-02-01T00:00:00.000","East of Hudson","0.972",,,
"2020-02-01T00:00:00.000","Pascack Valley","0.972","0.962","0.947","0.976"
"2020-02-01T00:00:00.000","Port Jervis","0.956","0.93","0.965","0.951"
"2020-02-01T00:00:00.000","West of Hudson","0.965",,,
"2020-03-01T00:00:00.000","Hudson","0.986","0.969","0.986","0.985"
"2020-03-01T00:00:00.000","Harlem","0.987","0.985","0.998","0.981"
"2020-03-01T00:00:00.000","New Haven","0.984","0.972","0.99","0.979"
"2020-03-01T00:00:00.000","East of Hudson","0.985",,,
"2020-03-01T00:00:00.000","Pascack Valley","0.975","0.981","0.99","0.963"
"2020-03-01T00:00:00.000","Port Jervis","0.974","0.978","1.0","0.951"
"2020-03-01T00:00:00.000","West of Hudson","0.975",,,
"2020-04-01T00:00:00.000","Hudson","0.986",,,"0.986"
"2020-04-01T00:00:00.000","Harlem","0.987",,,"0.984"
"2020-04-01T00:00:00.000","New Haven","0.986",,,"0.985"
"2020-04-01T00:00:00.000","East of Hudson","0.986",,,
"2020-04-01T00:00:00.000","Pascack Valley","0.95",,,"0.964"
"2020-04-01T00:00:00.000","Port Jervis","0.961",,,"0.963"
"2020-04-01T00:00:00.000","West of Hudson","0.954",,,
"2020-05-01T00:00:00.000","Hudson","0.991",,,"0.993"
"2020-05-01T00:00:00.000","Harlem","0.988",,,"0.987"
"2020-05-01T00:00:00.000","New Haven","0.993",,,"0.995"
"2020-05-01T00:00:00.000","East of Hudson","0.991",,,
"2020-05-01T00:00:00.000","Pascack Valley","0.992",,,"0.992"
"2020-05-01T00:00:00.000","Port Jervis","0.941",,,"0.931"
"2020-05-01T00:00:00.000","West of Hudson","0.972",,,
"2020-06-01T00:00:00.000","Hudson","0.991",,,"0.991"
"2020-06-01T00:00:00.000","Harlem","0.968",,,"0.963"
"2020-06-01T00:00:00.000","New Haven","0.985",,,"0.991"
"2020-06-01T00:00:00.000","East of Hudson","0.981",,,
"2020-06-01T00:00:00.000","Pascack Valley","0.978",,,"0.975"
"2020-06-01T00:00:00.000","Port Jervis","0.881",,,"0.892"
"2020-06-01T00:00:00.000","West of Hudson","0.94",,,
"2020-07-01T00:00:00.000","Hudson","0.989",,,"0.989"
"2020-07-01T00:00:00.000","Harlem","0.978",,,"0.973"
"2020-07-01T00:00:00.000","New Haven","0.984",,,"0.984"
"2020-07-01T00:00:00.000","East of Hudson","0.983",,,
"2020-07-01T00:00:00.000","Pascack Valley","0.949","0.971","0.914","0.923"
"2020-07-01T00:00:00.000","Port Jervis","0.903","0.875","0.883","0.89"
"2020-07-01T00:00:00.000","West of Hudson","0.93",,,
"2020-08-01T00:00:00.000","Hudson","0.969",,,"0.966"
"2020-08-01T00:00:00.000","Harlem","0.956",,,"0.947"
"2020-08-01T00:00:00.000","New Haven","0.952",,,"0.935"
"2020-08-01T00:00:00.000","East of Hudson","0.957",,,
"2020-08-01T00:00:00.000","Pascack Valley","0.91","0.929","0.937","0.917"
